HP:0000002	Abnormality of body height	height|abnorm|bodi
HP:0009571	Curved middle phalanx of the 2nd finger	curv|middl|finger|phalanx
HP:0009572	Osteolytic defects of the middle phalanx of the 2nd finger	osteolyt|middl|finger|defect|phalanx
HP:0009573	Patchy sclerosis of the middle phalanx of the 2nd finger	middl|finger|patchi|sclerosi|phalanx
HP:0009574	Symphalangism of middle phalanx of 2nd finger	symphalang|middl|finger|phalanx
HP:0009575	Triangular shaped middle phalanx of the 2nd finger	middl|finger|shape|triangular|phalanx
HP:0009576	Absent middle phalanx of 2nd finger	middl|finger|absent|phalanx
HP:0009577	Short middle phalanx of the 2nd finger	short|middl|finger|phalanx
HP:0009579	Proximal/middle symphalangism of the 2nd finger	symphalang|middl|finger|proxim
HP:0009580	Aplasia/Hypoplasia of the proximal phalanx of the 2nd finger	aplasia|hypoplasia|proxim|finger|phalanx
HP:0009581	Broad proximal phalanx of the 2nd finger	finger|broad|proxim|phalanx
HP:0009582	Bullet-shaped proximal phalanx of the 2nd finger	bullet-shap|finger|proxim|phalanx
HP:0009583	Curved proximal phalanx of the 2nd finger	curv|finger|proxim|phalanx
HP:0009584	Osteolytic defects of the proximal phalanx of the 2nd finger	osteolyt|finger|proxim|defect|phalanx
HP:0009585	Patchy sclerosis of the proximal phalanx of the 2nd finger	finger|patchi|proxim|sclerosi|phalanx
HP:0009586	Symphalangism affecting the proximal phalanx of the 2nd finger	symphalang|finger|proxim|affect|phalanx
HP:0009587	Triangular shaped proximal phalanx of the 2nd finger	finger|shape|triangular|proxim|phalanx
HP:0009588	Vestibular Schwannoma	schwannoma|vestibular
HP:0009589	Bilateral vestibular Schwannoma	bilater|schwannoma|vestibular
HP:0009590	Unilateral vestibular Schwannoma	unilater|schwannoma|vestibular
HP:0009591	Abnormality of the vestibulocochlear nerve	vestibulocochlear|abnorm|nerv
HP:0009592	Astrocytoma	astrocytoma
HP:0009593	Peripheral Schwannoma	peripher|schwannoma
HP:0009594	Retinal hamartoma	hamartoma|retin
HP:0009595	Occasional neurofibromas	occasion|neurofibroma
HP:0009596	Aplasia of the proximal phalanx of the 2nd finger	aplasia|finger|proxim|phalanx
HP:0009597	Short proximal phalanx of the 2nd finger	short|finger|proxim|phalanx
HP:0009598	Symphalangism of the proximal phalanx of the 2nd finger with the 2nd metatcarpal	symphalang|finger|proxim|metatcarp|phalanx
HP:0009599	Abnormality of thumb epiphysis	epiphysi|abnorm|thumb
HP:0009600	Flexion contracture of thumb	flexion|contractur|thumb
HP:0009601	Aplasia/Hypoplasia of the thumb	aplasia|hypoplasia|thumb
HP:0009602	Abnormality of thumb phalanx	abnorm|thumb|phalanx
HP:0009603	Deviation/Displacement of the thumb	thumb|displac|deviat
HP:0009606	Complete duplication of distal phalanx of the thumb	phalanx|distal|duplic|thumb|complet
HP:0009608	Complete duplication of proximal phalanx of the thumb	phalanx|proxim|duplic|thumb|complet
HP:0009609	Duplication of the 1st metacarpal	metacarp|duplic
HP:0009611	Bifid distal phalanx of the thumb	distal|bifid|thumb|phalanx
HP:0009612	Duplication of the distal phalanx of the thumb	distal|duplic|thumb|phalanx
HP:0009613	Duplication of the proximal phalanx of the thumb	proxim|duplic|thumb|phalanx
HP:0009614	Bifid proximal phalanx of the thumb	proxim|bifid|thumb|phalanx
HP:0009615	Complete duplication of the first metacarpal	metacarp|duplic|complet
HP:0009616	Bifid first metacarpal	metacarp|bifid
HP:0009617	Abnormality of the distal phalanx of the thumb	distal|abnorm|thumb|phalanx
HP:0009618	Abnormality of the proximal phalanx of the thumb	proxim|abnorm|thumb|phalanx
HP:0009622	Distally placed thumb	distal|thumb
HP:0009623	Proximal placement of thumb	proxim|placement|thumb
HP:0009624	Contractures of the carpometacarpal joint of the thumb	carpometacarp|contractur|joint|thumb
HP:0009625	Contractures of the metacarpophalangeal joint of the thumb	metacarpophalang|contractur|joint|thumb
HP:0009626	Contractures of the interphalangeal joint of the thumb	interphalang|contractur|joint|thumb
HP:0009629	Aplasia/Hypoplasia of the proximal phalanx of the thumb	aplasia|hypoplasia|proxim|thumb|phalanx
HP:0009630	Broad proximal phalanx of the thumb	broad|proxim|thumb|phalanx
HP:0009631	Bullet-shaped proximal phalanx of the thumb	bullet-shap|proxim|thumb|phalanx
HP:0009632	Curved proximal phalanx of the thumb	curv|proxim|thumb|phalanx
HP:0009633	Osteolytic defect of the proximal phalanx of the thumb	osteolyt|proxim|defect|thumb|phalanx
HP:0009634	Patchy sclerosis of the proximal phalanx of the thumb	patchi|proxim|sclerosi|thumb|phalanx
HP:0009635	Synostosis of thumb phalanx	synostosi|thumb|phalanx
HP:0009636	Triangular shaped proximal phalanx of the thumb	shape|triangular|proxim|thumb|phalanx
HP:0009637	Absent proximal phalanx of thumb	proxim|absent|thumb|phalanx
HP:0009638	Short proximal phalanx of thumb	short|proxim|thumb|phalanx
HP:0009640	Synostosis of the proximal phalanx of the thumb with the 1st metatcarpal	synostosi|proxim|thumb|metatcarp|phalanx
HP:0009641	Aplasia/Hypoplasia of the distal phalanx of the thumb	aplasia|hypoplasia|distal|thumb|phalanx
HP:0009642	Broad distal phalanx of the thumb	distal|broad|thumb|phalanx
HP:0009643	Bullet-shaped distal phalanx of the thumb	bullet-shap|distal|thumb|phalanx
HP:0009644	Curved distal phalanx of the thumb	curv|distal|thumb|phalanx
HP:0009645	Osteolytic defect of the distal phalanx of the thumb	osteolyt|distal|defect|thumb|phalanx
HP:0009646	Patchy sclerosis of the distal phalanx of the thumb	distal|patchi|sclerosi|thumb|phalanx
HP:0009648	Triangular shaped distal phalanx of the thumb	distal|shape|triangular|thumb|phalanx
HP:0009649	Aplasia of the distal phalanx of the thumb	aplasia|distal|thumb|phalanx
HP:0009650	Short distal phalanx of the thumb	short|distal|thumb|phalanx
HP:0009652	Bullet-shaped thumb phalanx	bullet-shap|thumb|phalanx
HP:0009653	Curved thumb phalanx	curv|thumb|phalanx
HP:0009654	Osteolytic defect of thumb phalanx	osteolyt|defect|thumb|phalanx
HP:0009655	Patchy sclerosis of thumb phalanx	patchi|sclerosi|thumb|phalanx
HP:0009656	Symphalangism of the thumb	symphalang|thumb
HP:0009657	Triangular shaped thumb phalanx	shape|triangular|thumb|phalanx
HP:0009658	Aplasia/Hypoplasia of the phalanges of the thumb	phalang|aplasia|hypoplasia|thumb
HP:0009659	Partial absence of thumb	partial|absenc|thumb
HP:0009660	Short phalanx of the thumb	short|thumb|phalanx
HP:0009662	Abnormality of the epiphysis of the distal phalanx of the thumb	epiphysi|distal|abnorm|thumb|phalanx
HP:0009663	Abnormality of the epiphysis of the proximal phalanx of the thumb	epiphysi|proxim|abnorm|thumb|phalanx
HP:0009664	Absent epiphysis of the proximal phalanx of the thumb	epiphysi|proxim|absent|thumb|phalanx
HP:0009665	Bracket epiphysis of the proximal phalanx of the thumb	epiphysi|proxim|thumb|bracket|phalanx
HP:0009666	Cone-shaped epiphysis of the proximal phalanx of the thumb	epiphysi|proxim|thumb|cone-shap|phalanx
HP:0009667	Enlarged epiphysis of the proximal phalanx of the thumb	epiphysi|enlarg|proxim|thumb|phalanx
HP:0009668	Fragmentation of the epiphysis of the proximal phalanx of the thumb	epiphysi|fragment|proxim|thumb|phalanx
HP:0009669	Irregular epiphysis of the proximal phalanx of the thumb	epiphysi|proxim|irregular|thumb|phalanx
HP:0009670	Ivory epiphysis of the proximal phalanx of the thumb	epiphysi|phalanx|proxim|thumb|ivori
HP:0009671	Pseudoepiphysis of the proximal phalanx of the thumb	proxim|pseudoepiphysi|thumb|phalanx
HP:0009672	Small epiphysis of the proximal phalanx of the thumb	epiphysi|proxim|small|thumb|phalanx
HP:0009673	Stippling of the epiphysis of the proximal phalanx of the thumb	epiphysi|phalanx|proxim|thumb|stippl
HP:0009674	Triangular epiphysis of the proximal phalanx of the thumb	epiphysi|proxim|triangular|thumb|phalanx
HP:0009675	Absent epiphysis of the distal phalanx of the thumb	epiphysi|distal|absent|thumb|phalanx
HP:0009676	Bracket epiphysis of the distal phalanx of the thumb	epiphysi|distal|thumb|bracket|phalanx
HP:0009677	Cone-shaped epiphysis of the distal phalanx of the thumb	epiphysi|distal|thumb|cone-shap|phalanx
HP:0009678	Enlarged epiphysis of the distal phalanx of the thumb	epiphysi|distal|enlarg|thumb|phalanx
HP:0009679	Fragmentation of the epiphysis of the distal phalanx of the thumb	epiphysi|fragment|distal|thumb|phalanx
HP:0009680	Irregular epiphysis of the distal phalanx of the thumb	epiphysi|distal|irregular|thumb|phalanx
HP:0009681	Ivory epiphysis of the distal phalanx of the thumb	epiphysi|distal|phalanx|thumb|ivori
HP:0009682	Pseudoepiphysis of the distal phalanx of the thumb	distal|pseudoepiphysi|thumb|phalanx
HP:0009683	Small epiphysis of the distal phalanx of the thumb	epiphysi|distal|small|thumb|phalanx
HP:0009684	Stippling of the epiphysis of the distal phalanx of the thumb	epiphysi|distal|phalanx|thumb|stippl
HP:0009685	Triangular epiphysis of the distal phalanx of the thumb	epiphysi|distal|triangular|thumb|phalanx
HP:0009686	Absent epiphyses of the thumb	epiphys|absent|thumb
HP:0009687	Bracket epiphyses of the thumb	epiphys|thumb|bracket
HP:0009688	Cone-shaped epiphysis of the thumb	epiphysi|thumb|cone-shap
HP:0009689	Enlarged thumb epiphysis	epiphysi|enlarg|thumb
HP:0009690	Fragmentation of thumb epiphysis	epiphysi|fragment|thumb
HP:0009691	Irregular thumb epiphysis	epiphysi|irregular|thumb
HP:0009692	Ivory epiphysis of the thumb	epiphysi|thumb|ivori
HP:0009693	Pseudoepiphysis of the thumb	pseudoepiphysi|thumb
HP:0009694	Small thumb epiphysis	epiphysi|small|thumb
HP:0009695	Stippling of thumb epiphysis	epiphysi|thumb|stippl
HP:0009696	Triangular epiphyses of the thumb	epiphys|triangular|thumb
HP:0009697	Contracture of the distal interphalangeal joints of the fingers	distal|interphalang|finger|contractur|joint
HP:0009699	Osteolytic defects of the hand bones	osteolyt|hand|bone|defect
HP:0009700	Synostosis involving bones of the fingers	finger|synostosi|involv|bone
HP:0009701	Metacarpal synostosis	metacarp|synostosi
HP:0009702	Carpal synostosis	carpal|synostosi
HP:0009703	Synostosis involving the 1st metacarpal	metacarp|synostosi|involv
HP:0009704	Chronic CSF lymphocytosis	chronic|lymphocytosi|csf
HP:0009705	Synostosis involving the 2nd metacarpal	metacarp|synostosi|involv
HP:0009706	Synostosis involving the 3rd metacarpal	metacarp|synostosi|involv
HP:0009707	Synostosis involving the 4th metacarpal	metacarp|synostosi|involv|4th
HP:0009708	Synostosis involving the 5th metacarpal	5th|metacarp|synostosi|involv
HP:0009709	Increased CSF interferon alpha	csf|interferon|increas|alpha
HP:0009710	Chilblain lesions	lesion|chilblain
HP:0009711	Retinal hemangioblastoma	retin|hemangioblastoma
HP:0009713	Spinal hemangioblastoma	spinal|hemangioblastoma
HP:0009714	Abnormality of the epididymis	abnorm|epididymi
HP:0009715	Papillary cystadenoma of the epididymis	cystadenoma|papillari|epididymi
HP:0009716	Subependymal nodules	subependym|nodul
HP:0009717	Cortical tubers	tuber|cortic
HP:0009718	Subependymal giant-cell astrocytoma	subependym|astrocytoma|giant-cel
HP:0009719	Hypomelanotic macules	hypomelanot|macul
HP:0009720	Adenoma sebaceum	adenoma|sebaceum
HP:0009721	Shagreen patch	patch|shagreen
HP:0009722	Dental enamel pits	dental|enamel|pit
HP:0009723	Abnormality of the subungual region	abnorm|subungu|region
HP:0009724	Subungual fibromas	subungu|fibroma
HP:0009725	Bladder neoplasm	bladder|neoplasm
HP:0009726	Renal neoplasm	renal|neoplasm
HP:0009727	Achromatic retinal patches	achromat|patch|retin
HP:0009728	Neoplasm of striated muscle	striat|neoplasm|muscl
HP:0009729	Cardiac rhabdomyoma	cardiac|rhabdomyoma
HP:0009730	Rhabdomyoma	rhabdomyoma
HP:0009731	Cerebral hamartomata	cerebr|hamartomata
HP:0009732	Plexiform neurofibroma	plexiform|neurofibroma
HP:0009733	Glioma	glioma
HP:0009734	Optic glioma	glioma|optic
HP:0009735	Spinal neurofibromas	neurofibroma|spinal
HP:0009736	Tibial pseudoarthrosis	tibial|pseudoarthrosi
HP:0009737	Lisch nodules	nodul|lisch
HP:0009738	Abnormality of the antihelix	antihelix|abnorm
HP:0009739	Hypoplasia of the antihelix	hypoplasia|antihelix
HP:0009740	Aplasia of the parotid gland	gland|aplasia|parotid
HP:0009741	Nephrosclerosis	nephrosclerosis
HP:0009742	Stiff shoulders	stiff|shoulder
HP:0009743	Distichiasis	distichiasis
HP:0009744	Abnormality of the spinal dura mater	dura|mater|spinal|abnorm
HP:0009745	Spinalarachnoid cyst	cyst|spinalarachnoid
HP:0009746	Thick nasal septum	septum|nasal|thick
HP:0009747	Lumbosacral hirsutism	lumbosacr|hirsut
HP:0009748	Large earlobe	earlob|larg
HP:0009751	Aplasia of the pectoralis major muscle	pectorali|aplasia|major|muscl
HP:0009752	Cleft in skull base	skull|base|cleft
HP:0009754	Fibrous syngnathia	syngnathia|fibrous
HP:0009755	Ankyloblepharon	ankyloblepharon
HP:0009756	Popliteal pterygium	poplit|pterygium
HP:0009757	Intercrural pterygium	pterygium|intercrur
HP:0009758	Pyramidal skinfold extending from the base to the top of the nails	pyramid|top|extend|skinfold|base|nail
HP:0009759	Neck pterygia	neck|pterygia
HP:0009760	Antecubital pterygium	pterygium|antecubit
HP:0009761	Anterior clefting of vertebral bodies	anterior|cleft|vertebr|bodi
HP:0009762	Facial wrinkling	facial|wrinkl
HP:0009763	Limb pain	limb|pain
HP:0009765	Low hanging columella	low|columella|hang
HP:0009767	Aplasia/Hypoplasia of the phalanges of the hand	phalang|aplasia|hypoplasia|hand
HP:0009768	Broad phalanges of the hand	phalang|hand|broad
HP:0009769	Bullet-shaped phalanges of the hand	bullet-shap|phalang|hand
HP:0009770	Curved phalanges of the hand	phalang|curv|hand
HP:0009771	Osteolytic defects of the phalanges of the hand	phalang|osteolyt|hand|defect
HP:0009772	Patchy sclerosis of finger phalanx	finger|patchi|sclerosi|phalanx
HP:0009773	Symphalangism affecting the phalanges of the hand	symphalang|phalang|hand|affect
HP:0009774	Triangular shaped phalanges of the hand	phalang|hand|shape|triangular
HP:0009775	Amniotic constriction ring	ring|constrict|amniot
HP:0009776	Adactyly	adactyly
HP:0009777	Absent thumb	absent|thumb
HP:0009778	Short thumb	short|thumb
HP:0009779	3-4 toe syndactyly	3-4|toe|syndactyli
HP:0009780	Iliac horns	horn|iliac
HP:0009781	Lester's sign	lester|sign
HP:0009782	Aplasia/Hypoplasia of the biceps	aplasia|hypoplasia|bicep
HP:0009783	Biceps aplasia	aplasia|bicep
HP:0009784	Aplasia/Hypoplasia of the triceps	aplasia|hypoplasia|tricep
HP:0009785	Triceps aplasia	aplasia|tricep
HP:0009786	Aplasia/Hypoplasia of the musculature of the thigh	aplasia|hypoplasia|musculatur|thigh
HP:0009787	Aplasia/Hypoplasia of the quadriceps	aplasia|hypoplasia|quadricep
HP:0009788	Quadriceps aplasia	aplasia|quadricep
HP:0009789	Perianal abscess	abscess|perian
HP:0009790	Hemisacrum (S2-S5)	s2-s5|hemisacrum
HP:0009791	Bifid sacrum	sacrum|bifid
HP:0009792	Teratoma	teratoma
HP:0009793	Presacral teratoma	presacr|teratoma
HP:0009794	Branchial anomaly	anomali|branchial
HP:0009795	Branchial fistula	fistula|branchial
HP:0009796	Branchial cyst	cyst|branchial
HP:0009797	Cholesteatoma	cholesteatoma
HP:0009798	Euthyroid goiter	goiter|euthyroid
HP:0009799	Supernumerary spleens	spleen|supernumerari
HP:0009800	Maternal diabetes	diabet|matern
HP:0009802	Aplasia of the phalanges of the hand	phalang|aplasia|hand
HP:0009803	Short phalanx of finger	short|finger|phalanx
HP:0009804	Reduced number of teeth	reduc|number|teeth
HP:0009805	Low-output congestive heart failure	heart|failur|low-output|congest
HP:0009806	Nephrogenic diabetes insipidus	insipidus|nephrogen|diabet
HP:0009808	Anomaly of the upper limb diaphyses	anomali|upper|diaphys|limb
HP:0009809	Abnormality of upper limb metaphysis	upper|abnorm|limb|metaphysi
HP:0009810	Abnormality of the joints of the upper limbs	upper|abnorm|joint|limb
HP:0009811	Abnormality of the elbow	abnorm|elbow
HP:0009812	Amelia involving the upper limbs	upper|involv|amelia|limb
HP:0009813	Upper limb phocomelia	upper|limb|phocomelia
HP:0009814	Upper limb peromelia	peromelia|upper|limb
HP:0009815	Aplasia/hypoplasia of the extremities	aplasia|hypoplasia|extrem
HP:0009816	Lower limb undergrowth	lower|limb|undergrowth
HP:0009817	Aplasia involving bones of the lower limbs	aplasia|involv|bone|lower|limb
HP:0009818	Amelia involving the lower limbs	involv|amelia|lower|limb
HP:0009819	Lower limb phocomelia	lower|limb|phocomelia
HP:0009820	Lower limb peromelia	peromelia|lower|limb
HP:0009821	Forearm undergrowth	forearm|undergrowth
HP:0009822	Aplasia involving forearm bones	aplasia|forearm|involv|bone
HP:0009823	Aplasia involving bones of the upper limbs	aplasia|upper|involv|bone|limb
HP:0009824	Upper limb undergrowth	upper|limb|undergrowth
HP:0009825	Aplasia involving bones of the extremities	aplasia|involv|bone|extrem
HP:0009826	Limb undergrowth	limb|undergrowth
HP:0009827	Amelia	amelia
HP:0009828	Peromelia	peromelia
HP:0009829	Phocomelia	phocomelia
HP:0009830	Peripheral neuropathy	peripher|neuropathi
HP:0009831	Mononeuropathy	mononeuropathy
HP:0009832	Abnormality of the distal phalanx of finger	distal|finger|abnorm|phalanx
HP:0009833	Abnormality of the middle phalanges of the hand	phalang|middl|hand|abnorm
HP:0009834	Abnormality of the proximal phalanges of the hand	phalang|hand|proxim|abnorm
HP:0009835	Aplasia/Hypoplasia of the distal phalanges of the hand	phalang|aplasia|hypoplasia|distal|hand
HP:0009836	Broad distal phalanx of finger	distal|broad|finger|phalanx
HP:0009837	Bullet-shaped distal phalanges of the hand	bullet-shap|distal|phalang|hand
HP:0009838	Curved distal phalanges of the hand	phalang|curv|distal|hand
HP:0009839	Osteolytic defects of the distal phalanges of the hand	phalang|osteolyt|distal|hand|defect
HP:0009840	Patchy sclerosis of distal phalanx of finger	distal|finger|patchi|sclerosi|phalanx
HP:0009843	Aplasia/Hypoplasia of the middle phalanges of the hand	phalang|aplasia|hypoplasia|middl|hand
HP:0009844	Broad middle phalanx of finger	middl|broad|finger|phalanx
HP:0009845	Bullet-shaped middle phalanges of the hand	bullet-shap|middl|phalang|hand
HP:0009846	Curved middle phalanges of the hand	phalang|curv|middl|hand
HP:0009847	Osteolytic defects of the middle phalanges of the hand	phalang|osteolyt|middl|hand|defect
HP:0009848	Patchy sclerosis of middle phalanx of finger	middl|finger|patchi|sclerosi|phalanx
HP:0009849	Symphalangism of middle phalanx of finger	symphalang|middl|finger|phalanx
HP:0009850	Triangular shaped middle phalanges of the hand	phalang|middl|hand|shape|triangular
HP:0009851	Aplasia/Hypoplasia of the proximal phalanges of the hand	phalang|aplasia|hypoplasia|proxim|hand
HP:0009852	Broad proximal phalanges of the hand	phalang|hand|broad|proxim
HP:0009853	Bullet-shaped proximal phalanges of the hand	bullet-shap|phalang|hand|proxim
HP:0009854	Curved proximal phalanges of the hand	phalang|curv|hand|proxim
HP:0009855	Osteolytic defects of the proximal phalanges of the hand	phalang|osteolyt|hand|proxim|defect
HP:0009856	Patchy sclerosis of proximal phalanx of finger	finger|patchi|proxim|sclerosi|phalanx
HP:0009857	Symphalangism affecting the proximal phalanges of the hand	symphalang|phalang|hand|proxim|affect
HP:0009858	Triangular shaped proximal phalanges of the hand	phalang|hand|shape|triangular|proxim
HP:0009875	Triangular shaped distal phalanges of the hand	phalang|distal|hand|shape|triangular
HP:0009878	Cerebellar ataxia associated with quadrupedal gait	cerebellar|ataxia|quadruped|gait
HP:0009879	Cortical gyral simplification	gyral|simplif|cortic
HP:0009880	Broad distal phalanges of all fingers	phalang|distal|broad|finger
HP:0009881	Aplasia of the distal phalanges of the hand	phalang|aplasia|distal|hand
HP:0009882	Short distal phalanx of finger	short|distal|finger|phalanx
HP:0009883	Duplication of the distal phalanx of hand	distal|hand|duplic|phalanx
HP:0009884	Tapered distal phalanges of finger	phalang|distal|taper|finger
HP:0009886	Trichorrhexis nodosa	nodosa|trichorrhexi
HP:0009887	Abnormality of hair pigmentation	abnorm|hair|pigment
HP:0009888	Abnormality of secondary sexual hair	sexual|secondari|abnorm|hair
HP:0009889	Localized hirsutism	local|hirsut
HP:0009890	High anterior hairline	high|anterior|hairlin
HP:0009891	Underdeveloped supraorbital ridges	supraorbit|underdevelop|ridg
HP:0009892	Anotia	anotia
HP:0009893	Telangiectasia of the ear	telangiectasia|ear
HP:0009894	Thickened ears	ear|thicken
HP:0009895	Abnormality of the crus of the helix	helix|crus|abnorm
HP:0009896	Abnormality of the antitragus	antitragus|abnorm
HP:0009897	Horizontal crus of helix	helix|horizont|crus
HP:0009898	Underdeveloped crus of the helix	helix|crus|underdevelop
HP:0009899	Prominent crus of helix	helix|promin|crus
HP:0009900	Unilateral deafness	unilater|deaf
HP:0009901	Crumpled ear	crumpl|ear
HP:0009902	Cleft helix	helix|cleft
HP:0009903	Conjunctival nodule	nodul|conjunctiv
HP:0009904	Prominent ear helix	helix|promin|ear
HP:0009905	Thin ear helix	helix|ear|thin
HP:0009906	Aplasia/Hypoplasia of the earlobes	aplasia|hypoplasia|earlob
HP:0009907	Attached earlobe	attach|earlob
HP:0009908	Anterior creases of earlobe	creas|earlob|anterior
HP:0009909	Uplifted earlobe	earlob|uplift
HP:0009910	Aplasia of the middle ear ossicles	aplasia|middl|ear|ossicl
HP:0009911	Abnormality of the temporal bone	abnorm|tempor|bone
HP:0009912	Abnormality of the tragus	tragus|abnorm
HP:0009913	Aplasia/Hypoplasia of the tragus	aplasia|hypoplasia|tragus
HP:0009914	Cyclopia	cyclopia
HP:0009915	Corneal asymmetry	asymmetri|corneal
HP:0009916	Anisocoria	anisocoria
HP:0009917	Persistent pupillary membrane	persist|pupillari|membran
HP:0009918	Ectopia pupillae	ectopia|pupilla
HP:0009919	Retinoblastoma	retinoblastoma
HP:0009920	Nevus of Ota	ota|nevus
HP:0009921	Duane anomaly	anomali|duan
HP:0009922	Persistence of the hyaloid artery	hyaloid|persist|arteri
HP:0009924	Aplasia/Hypoplasia involving the nose	aplasia|hypoplasia|involv|nose
HP:0009926	Increased lacrimation	increas|lacrim
HP:0009927	Aplasia of the nose	aplasia|nose
HP:0009928	Thick nasal alae	nasal|thick|ala
HP:0009929	Abnormality of the columella	columella|abnorm
HP:0009930	Asymmetry of the nares	asymmetri|nare
HP:0009931	Enlarged naris	enlarg|nari
HP:0009932	Single naris	nari|singl
HP:0009933	Narrow naris	narrow|nari
HP:0009934	Supernumerary naris	supernumerari|nari
HP:0009935	Aplasia/Hypoplasia of the nasal septum	aplasia|hypoplasia|septum|nasal
HP:0009936	Narrow nasal septum	septum|narrow|nasal
HP:0009937	Facial hirsutism	facial|hirsut
HP:0009938	Sunken cheeks	sunken|cheek
HP:0009939	Mandibular aplasia	aplasia|mandibular
HP:0009940	Asymmetry of the mandible	asymmetri|mandibl
HP:0009941	Asymmetry of the mouth	mouth|asymmetri
HP:0009942	Duplication of thumb phalanx	duplic|thumb|phalanx
HP:0009943	Complete duplication of thumb phalanx	phalanx|duplic|thumb|complet
HP:0009944	Partial duplication of thumb phalanx	partial|duplic|thumb|phalanx
HP:0009945	Duplication of phalanx of 2nd finger	finger|duplic|phalanx
HP:0009946	Polydactyly affecting the 2nd finger	finger|polydactyli|affect
HP:0009947	Duplication of the proximal phalanx of the 2nd finger	finger|proxim|duplic|phalanx
HP:0009948	Duplication of the distal phalanx of the 2nd finger	distal|finger|duplic|phalanx
HP:0009949	Duplication of the middle phalanx of the 2nd finger	middl|finger|duplic|phalanx
HP:0009950	Complete duplication of the distal phalanx of the 2nd finger	phalanx|distal|finger|duplic|complet
HP:0009951	Partial duplication of the distal phalanx of the 2nd finger	partial|distal|finger|duplic|phalanx
HP:0009952	Complete duplication of the middle phalanx of the 2nd finger	phalanx|middl|finger|duplic|complet
HP:0009953	Partial duplication of the middle phalanx of the 2nd finger	partial|middl|finger|duplic|phalanx
HP:0009954	Complete duplication of the proximal phalanx of the 2nd finger	phalanx|finger|proxim|duplic|complet
HP:0009955	Partial duplication of the proximal phalanx of the 2nd finger	partial|finger|proxim|duplic|phalanx
HP:0009956	Partial duplication of the phalanges of the 2nd finger	phalang|partial|finger|duplic
HP:0009957	Complete duplication of the phalanges of the 2nd finger	phalang|finger|duplic|complet
HP:0009958	Polydactyly affecting the 3rd finger	finger|polydactyli|affect
HP:0009959	Duplication of phalanx of 3rd finger	finger|duplic|phalanx
HP:0009960	Complete duplication of the phalanges of the 3rd finger	phalang|finger|duplic|complet
HP:0009961	Partial duplication of the phalanges of the 3rd finger	phalang|partial|finger|duplic
HP:0009962	Duplication of the distal phalanx of the 3rd finger	distal|finger|duplic|phalanx
HP:0009963	Duplication of the middle phalanx of the 3rd finger	middl|finger|duplic|phalanx
HP:0009964	Duplication of the proximal phalanx of the 3rd finger	finger|proxim|duplic|phalanx
HP:0009965	Complete duplication of the distal phalanx of the 3rd finger	phalanx|distal|finger|duplic|complet
HP:0009966	Complete duplication of the middle phalanx of the 3rd finger	phalanx|middl|finger|duplic|complet
HP:0009967	Complete duplication of the proximal phalanx of the 3rd finger	phalanx|finger|proxim|duplic|complet
HP:0009968	Partial duplication of the distal phalanx of the 3rd finger	partial|distal|finger|duplic|phalanx
HP:0009969	Partial duplication of the middle phalanx of the 3rd finger	partial|middl|finger|duplic|phalanx
HP:0009970	Partial duplication of the proximal phalanx of the 3rd finger	partial|finger|proxim|duplic|phalanx
HP:0009971	Polydactyly affecting the 4th finger	finger|polydactyli|affect|4th
HP:0009972	Duplication of phalanx of 4th finger	4th|finger|duplic|phalanx
HP:0009973	Complete duplication of the phalanges of the 4th finger	phalang|4th|finger|duplic|complet
HP:0009974	Partial duplication of the phalanges of the 4th finger	phalang|partial|finger|duplic|4th
HP:0009975	Duplication of the distal phalanx of the 4th finger	4th|distal|finger|duplic|phalanx
HP:0009976	Duplication of the middle phalanx of the 4th finger	4th|middl|finger|duplic|phalanx
HP:0009977	Duplication of the proximal phalanx of the 4th finger	4th|finger|proxim|duplic|phalanx
HP:0009978	Complete duplication of the distal phalanx of the 4th finger	distal|duplic|4th|phalanx|finger|complet
HP:0009979	Complete duplication of the middle phalanx of the 4th finger	duplic|4th|middl|phalanx|finger|complet
HP:0009980	Complete duplication of the proximal phalanx of the 4th finger	duplic|4th|proxim|phalanx|finger|complet
HP:0009981	Partial duplication of the distal phalanx of the 4th finger	partial|distal|duplic|4th|phalanx|finger
HP:0009982	Partial duplication of the middle phalanx of the 4th finger	partial|duplic|4th|middl|phalanx|finger
HP:0009983	Partial duplication of the proximal phalanx of the 4th finger	partial|duplic|4th|proxim|phalanx|finger
HP:0009985	Duplication of phalanx of 5th finger	5th|finger|duplic|phalanx
HP:0009986	Complete duplication of the phalanges of the 5th finger	phalang|5th|finger|duplic|complet
HP:0009987	Partial duplication of the phalanges of the 5th finger	phalang|partial|5th|finger|duplic
HP:0009988	Duplication of the distal phalanx of the 5th finger	5th|distal|finger|duplic|phalanx
HP:0009989	Duplication of the middle phalanx of the 5th finger	5th|middl|finger|duplic|phalanx
HP:0009990	Duplication of the proximal phalanx of the 5th finger	5th|finger|proxim|duplic|phalanx
HP:0009991	Complete duplication of the distal phalanx of the 5th finger	distal|duplic|5th|phalanx|finger|complet
HP:0009992	Complete duplication of the middle phalanx of the 5th finger	duplic|5th|middl|phalanx|finger|complet
HP:0009993	Complete duplication of the proximal phalanx of the 5th finger	duplic|5th|proxim|phalanx|finger|complet
HP:0009994	Partial duplication of the distal phalanx of the 5th finger	partial|distal|duplic|5th|phalanx|finger
