MIR770	MIRN770|hsa-mir-770	microRNA 770
RPL29	RPL29P10|HIP|HUMRPL29|L29	cell surface heparin-binding protein HIP|ribosomal protein L29|heparin/heparan sulfate-binding protein|heparin/heparan sulfate-interacting protein|HP/HS-interacting protein|60S ribosomal protein L29
CDC20P1	OTTHUMG00000020142|CDC20P	cell division cycle 20 pseudogene 1
ALDOC		aldolase C, fructose-bisphosphate
RNU6-272P		RNA, U6 small nuclear 272, pseudogene
OSER1-AS1		OSER1 antisense RNA 1 (head to head)
C9orf89	BinCARD|MGC11115|bA370F5.1	Bcl10-interacting protein with CARD|chromosome 9 open reading frame 89
MED28P4		mediator complex subunit 28 pseudogene 4
CLEC4GP1		C-type lectin domain family 4, member G pseudogene 1
C5	C5b|CPAMD4|C5a	complement component 5|C5a anaphylatoxin|prepro-C5
FAM138F	F379	family with sequence similarity 138, member F
ATP5EP1		ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit pseudogene 1
TTTY24P		testis-specific transcript, Y-linked 24, pseudogene
LINC00242	NCRNA00242|dJ266L20.5|C6orf122|FLJ31451	long intergenic non-protein coding RNA 242
KRT77	KRT1B	keratin 77
RPS3AP53		ribosomal protein S3a pseudogene 53
MIR3935	hsa-mir-3935	microRNA 3935
CENPM	C22orf18|MGC861|CENP-M|Pane1	centromere protein M
GLRB		glycine receptor, beta
KRT8P50		keratin 8 pseudogene 50
TYMP	MNGIE|ECGF1	thymidine phosphorylase|gliostatin
MIR3674	hsa-mir-3674	microRNA 3674
TMEM126A	OPA7|DKFZp586C1924	transmembrane protein 126A
RNU6-792P		RNA, U6 small nuclear 792, pseudogene
ADAM9	Mltng|MDC9|KIAA0021|MCMP|CORD9	ADAM metallopeptidase domain 9|meltrin gamma|cone rod dystrophy 9
TMEM106C	MGC5576	transmembrane protein 106C
AMOT	KIAA1071	angiomotin
TRR-TCG3-1	TRNAR25	transfer RNA arginine 25 (anticodon UCG)
COL6A5	COL29A1|VWA4|FLJ35880	von Willebrand factor A domain containing 4|collagen, type VI, alpha 5
RN7SL751P		RNA, 7SL, cytoplasmic 751, pseudogene
S100A14	S100A15|BCMP84	S100 calcium binding protein A14
RPL23AP50		ribosomal protein L23a pseudogene 50
DHFRP1		dihydrofolate reductase pseudogene 1
ZNF863P		zinc finger protein 863, pseudogene
HDDC2	C6orf74|CGI-130|dJ167O5.2	HD domain containing 2
CYB5RL	LOC606495	cytochrome b5 reductase-like
SLC31A1	hCTR1|CTR1|COPT1	solute carrier family 31 (copper transporters), member 1|copper transport 1 homolog (S. cerevisiae)|solute carrier family 31 (copper transporter), member 1
CYP2C9	CYP2C10|P450IIC9	cytochrome P450, family 2, subfamily C, polypeptide 9
C4A	C4A4|C4|RG|C4S|C4A2|CPAMD2|C4A3|C4A6|C4B|CO4	complement component 4A (Rodgers blood group)
MIR3138	hsa-mir-3138	microRNA 3138
SERPIND1	D22S673|HC2|HC-II|HLS2|HCF2	serpin peptidase inhibitor, clade D (heparin cofactor), member 1|heparin cofactor II
MIR454	MIRN454|hsa-mir-454	microRNA 454
AZI2	FLJ21939|NAP1|AZ2	5-azacytidine induced 2
SPATA25	TSG23|C20orf165|dJ337O18.8	spermatogenesis associated 25
SPOCK1	SPOCK|testican-1|TIC1	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 1
UHRF1BP1L	KIAA0701	UHRF1 binding protein 1-like
RNU7-191P		RNA, U7 small nuclear 191 pseudogene
TOMM20P2		
ZNF73	hZNF2|Cos12|ZNF186	zinc finger protein 73
NEUROD1	BETA2|BHF-1|NEUROD|bHLHa3|MODY6|NeuroD	beta-cell E-box transactivator 2|neurogenic helix-loop-helix protein NEUROD|neuronal differentiation 1
SEPT7P1	CDC10P	septin 7 pseudogene 1
ACADVL	LCACD|VLCAD|ACAD6	acyl-CoA dehydrogenase, very long chain
LYPD1	LYPDC1|MGC29643	LY6/PLAUR domain containing 1
RN7SKP129		RNA, 7SK small nuclear pseudogene 129
AXIN1	PPP1R49	axin 1|protein phosphatase 1, regulatory subunit 49
TUBBP6		tubulin, beta class I pseudogene 6
CIDEC	CIDE-3|Fsp27|FLJ20871	cell death-inducing DFFA-like effector c
CSN2	CASB	casein beta
ZNF725P	ZNF725	zinc finger protein 725, pseudogene
DTX2P1-UPK3BP1-PMS2P11		DTX2P1-UPK3BP1-PMS2P11 readthrough transcribed pseudogene
RPL21P129		ribosomal protein L21 pseudogene 129
GRIK5	KA2|GluK5|GRIK2	glutamate receptor, ionotropic, kainate 5
ZNF548	FLJ32932	zinc finger protein 548
LINC01479		
ASIC3	TNaC1|ACCN3|DRASIC	acid-sensing (proton-gated) ion channel 3|testis sodium channel 1
GGTLC3		gamma-glutamyltransferase light chain 3
RPL13	BBC1|L13|D16S444E	ribosomal protein L13
OR14L1P	OR5AV1|OR5AV1P	olfactory receptor, family 14, subfamily L, member 1 pseudogene
RNU6-46P	RNU6-46	RNA, U6 small nuclear 46, pseudogene
CD74	DHLAG	gamma chain of class II antigens|MHC HLA-DR gamma chain|Ia-associated invariant chain|CD74 molecule, major histocompatibility complex, class II invariant chain|HLA-DR-gamma
LUZP2		leucine zipper protein 2
HNRNPA1P77		heterogeneous nuclear ribonucleoprotein A1 pseudogene 77
CYCSP49	CYCSP54|HCP49	cytochrome c, somatic pseudogene 49
CD8A	CD8	CD8a molecule
RASA2-IT1		RASA2 intronic transcript 1 (non-protein coding)
RN7SL418P		RNA, 7SL, cytoplasmic 418, pseudogene
RNU6-126P		RNA, U6 small nuclear 126, pseudogene
PRMT6	FLJ10559|HRMT1L6	protein arginine methyltransferase 6
FUBP3	FBP3	far upstream element (FUSE) binding protein 3
HMGN2P18		high mobility group nucleosomal binding domain 2 pseudogene 18
KCNC3	Kv3.3|SCA13	potassium voltage-gated channel, Shaw-related subfamily, member 3
S100A8	MRP8|CGLA|P8|60B8AG|CFAG|CAGA	S100 calcium binding protein A8
PDCL3P2		phosducin-like 3 pseudogene 2
TUBB4AP1		tubulin, beta 4A class IVa pseudogene 1
OR9Q1		olfactory receptor, family 9, subfamily Q, member 1
SNORA52	ACA52	small nucleolar RNA, H/ACA box 52
TMEM131	CC28|RW1|YR-23|PRO1048|KIAA0257	transmembrane protein 131
UBE2SP1		ubiquitin-conjugating enzyme E2S pseudogene 1
NCOA5	bA465L10.6|CIA	nuclear receptor coactivator 5|coactivator independent of AF-2
GABPB2	MGC29891	GA binding protein transcription factor, beta subunit 2
DSN1	dJ469A13.2|C20orf172|KNL3|MIS13|hKNL-3	kinetochore null 3 homolog (C. elegans)|DSN1, MIND kinetochore complex component, homolog (S. cerevisiae)|DSN1, MIS12 kinetochore complex component
RPL19P13		ribosomal protein L19 pseudogene 13
EIF4EBP3	4E-BP3	eukaryotic translation initiation factor 4E binding protein 3
TRMT2B-AS1		TRMT2B antisense RNA 1
MED4-AS1	MED4-AS	MED4 antisense RNA 1
SNORD36A	RNU36A|U36a	small nucleolar RNA, C/D box 36A
FAM93B		family with sequence similarity 93, member B
SNORD3A	U3	small nucleolar RNA, C/D box 3A
EEF2K	eEF-2K	eukaryotic elongation factor-2 kinase
MTTER		mitochondrially encoded transcription terminator
RAB28P2		RAB28, member RAS oncogene family pseudogene 2
TPT1P2		tumor protein, translationally-controlled 1 pseudogene 2
ZNF727P	ZNF727	zinc finger protein 727|zinc finger protein 727, pseudogene
RNA5SP89	RN5S89	RNA, 5S ribosomal pseudogene 89
LINC01028	TCONS_00025127	long intergenic non-protein coding RNA 1028
LARP7P2		La ribonucleoprotein domain family, member 7 pseudogene 2
NHS		Nance-Horan syndrome (congenital cataracts and dental anomalies)
TOMM40	C19orf1|D19S1177E|PEREC1|TOM40|PER-EC1	translocase of outer mitochondrial membrane 40 homolog (yeast)
OAF	MGC52117	OAF homolog (Drosophila)
SH2D6	FLJ35993	SH2 domain containing 6
BRD7P6		bromodomain containing 7 pseudogene 6
RNF133		ring finger protein 133
XKR7	dJ310O13.4|C20orf159	XK, Kell blood group complex subunit-related family, member 7|chromosome 20 open reading frame 159
YTHDF1P1	YTHDF1P	YTH domain family, member 1 pseudogene 1
ZNF777	KIAA1285	zinc finger protein 777
RNF6P1		ring finger protein (C3H2C3 type) 6 pseudogene 1
FUZ	FLJ22688|Fy	fuzzy planar cell polarity protein
OBSL1	KIAA0657	obscurin-like 1
NEUROD6	NEX1M|Atoh2|bHLHa2|Math-2|Nex1	neuronal differentiation 6
C1orf167	DKFZp434E1410|RP11-56N19.2	chromosome 1 open reading frame 167
VCY	VCY1A|VCY1|BPY1	variable charge, Y-linked
IQCB2P	dJ313I6.1|IQCB1P1	IQ motif containing B2 pseudogene|KIAA0036 pseudogene
RPS24P8		ribosomal protein S24 pseudogene 8
SERPINH1P1	bA571F15.6|pshsp47|SERPINHP1	serpin peptidase inhibitor, clade H1, pseudogene 1
FAM133A	CT115|RP1-32F7.2|FLJ37659	family with sequence similarity 133, member A|cancer/testis antigen 115
HMGN5	NSBP1	high mobility group nucleosome binding domain 5
RN7SKP12		RNA, 7SK small nuclear pseudogene 12
SNORD9	mgU6-53B	small nucleolar RNA, C/D box 9
KRTAP4-5	KAP4.5	keratin associated protein 4-5
HIST1H1T	H1t|H1FT	histone cluster 1, H1t
TAS2R1	T2R1|TRB7	taste receptor, type 2, member 1
ZNF17	FLJ40864|FLJ46615|FLJ46058|KOX10|HPF3|KIAA1947	zinc finger protein 17
RNU6-747P		RNA, U6 small nuclear 747, pseudogene
RND3	RhoE|ARHE|Rho8	Rho family GTPase 3
CECR5-AS1	CECR4|NCRNA00017	CECR5 antisense RNA 1|non-protein coding RNA 17
ZNF408	FLJ12827	zinc finger protein 408
SMEK2	PSY2|FLFL2|KIAA1387|FLJ31474	SMEK homolog 2, suppressor of mek1 (Dictyostelium)
GNG4		guanine nucleotide binding protein (G protein), gamma 4
ZNF124	HZF16|HZF-16	zinc finger protein 124
MIR551B	hsa-mir-551b|MIRN551B	microRNA 551b
RRAS		Oncogene RRAS|related RAS viral (r-ras) oncogene homolog
ONECUT1	HNF6|HNF-6|HNF6A	one cut homeobox 1
DYT15		dystonia 15, myoclonic
LINC00309	NCRNA00309	long intergenic non-protein coding RNA 309
MOV10	MGC2948|gb110|fSAP113	functional spliceosome-associated protein 113|Mov10, Moloney leukemia virus 10, homolog (mouse)
BPNT1		3'(2'), 5'-bisphosphate nucleotidase 1
MIR8079	hsa-mir-8079	microRNA 8079
NHP2P1	bA360G10.4|NOLA2P1	NHP2 ribonucleoprotein pseudogene 1
RPL26P30		ribosomal protein L26 pseudogene 30
PAGE1	CT16.3|PAGE-1|GAGEB1|GAGE-9	P antigen family, member 1 (prostate associated)
VWDE	FLJ14712	von Willebrand factor D and EGF domains
VMP1	EPG3|TMEM49|TANGO5	ectopic P-granules autophagy protein 3 homolog (C. elegans)|vacuole membrane protein 1|transport and golgi organization 5 homolog (Drosophila)
MIR4450	hsa-mir-4450	microRNA 4450
FAM49A	FLJ11080|DKFZP566A1524	family with sequence similarity 49, member A
MIR556	hsa-mir-556|MIRN556	microRNA 556
POLR3G	RPC32|RPC7	polymerase (RNA) III (DNA directed) polypeptide G (32kD)
RNU6-808P		RNA, U6 small nuclear 808, pseudogene
ZNF528	KIAA1827	zinc finger protein 528
SLC2A11	GLUT11|GLUT10	solute carrier family 2 (facilitated glucose transporter), member 11
SLC25A5P4		solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5 pseudogene 4
DIEXF	DEF|C1orf107|UTP25|MGC29875	digestive organ expansion factor homolog (zebrafish)
CYP2S1		cytochrome P450, family 2, subfamily S, polypeptide 1
MIR1202	MIRN1202|hsa-mir-1202	microRNA 1202
GRN	PCDGF|CLN11|PGRN	progranulin|granulin
VWC2L-IT1		VWC2L intronic transcript 1 (non-protein coding)
GOLGA6D		golgin A6 family, member D
AMELY	AMGL	amelogenin, Y-linked
RPL10AP6		ribosomal protein L10a pseudogene 6
LLPH	MGC14817|C12orf31|hLLP	human LAPS18-like protein|LLP homolog, long-term synaptic facilitation (Aplysia)
LRP11	bA350J20.3|MANSC3	low density lipoprotein receptor-related protein 11
MIR4531	hsa-mir-4531	microRNA 4531
RNU6-606P		RNA, U6 small nuclear 606, pseudogene
TEX26-AS1	LINC00447	TEX26 antisense RNA 1
ZEB1-AS1		ZEB1 antisense RNA 1
NDRG2	SYLD|KIAA1248	NDRG family member 2
RNU4-88P		RNA, U4 small nuclear 88, pseudogene
ZDHHC20P2	OTTHUMG00000133740	zinc finger, DHHC-type containing 20 pseudogene 2
NKRF	ITBA4|NRF	NFKB repressing factor
RPS8P8		ribosomal protein S8 pseudogene 8
MRPS33P4		mitochondrial ribosomal protein S33 pseudogene 4
C22orf31	HS747E2A|bK747E2.1	chromosome 22 open reading frame 31
PLEKHS1	bA211N11.2|C10orf81|FLJ23537	pleckstrin homology domain containing, family S member 1
ULBP3	RAET1N	UL16 binding protein 3
LY86-AS1	LY86AS|FLJ33708|LY86-AS	LY86 antisense RNA 1
FAM183CP		family with sequence similarity 183, member C, pseudogene
GTS		Gilles de la Tourette syndrome
HAUS1P3		HAUS augmin-like complex, subunit 1 pseudogene 3
RN7SL175P		RNA, 7SL, cytoplasmic 175, pseudogene
TMEM105	FLJ38792	transmembrane protein 105
RN7SL155P		RNA, 7SL, cytoplasmic 155, pseudogene
RNA5SP259	RN5S259	RNA, 5S ribosomal pseudogene 259
SEMG1	CT103|SEMG	semenogelin I|semen coagulating protein|cancer/testis antigen 103
TRE-TTC9-1	TRNAE40P	transfer RNA glutamic acid 40 (anticodon UUC) pseudogene
LINC01389		
ADAMTS5	ADAMTS11|ADMP-2	ADAM metallopeptidase with thrombospondin type 1 motif, 5|aggrecanase-2
GFOD2	MGC11335|FLJ23802	glucose-fructose oxidoreductase domain containing 2
ACSL4	ACS4|MRX68|FACL4|LACS4|MRX63	acyl-CoA synthetase long-chain family member 4|lignoceroyl-CoA synthase| long-chain fatty-acid-Coenzyme A ligase 4
PPP1R36	C14orf50	protein phosphatase 1, regulatory subunit 36
CORD8		cone rod dystrophy 8
GOLGA2P8		golgin A2 pseudogene 8
ZNF275		zinc finger protein 275
JPX	NCRNA00183|DCBALD06|LINC00183|ENOX	expressed neighbor of XIST|just proximal to XIST|JPX transcript, XIST activator (non-protein coding)
LGALS4	GAL4	lectin, galactoside-binding, soluble, 4|galectin 4
NR1I2	PXR|ONR1|BXR|PAR2|SXR	pregnane X receptor|orphan nuclear receptor PXR|nuclear receptor subfamily 1, group I, member 2
SNRPCP13		small nuclear ribonucleoprotein polypeptide C pseudogene 13
GSTT1		glutathione S-transferase theta 1
DOC2GP		double C2-like domains, gamma, pseudogene
RN7SL298P		RNA, 7SL, cytoplasmic 298, pseudogene
GAS5-AS1		GAS5 antisense RNA 1
MIR106B	hsa-mir-106b|MIRN106B	microRNA 106b
ERCC6-PGBD3		ERCC6-PGBD3 readthrough
AFF2-IT1		AFF2 intronic transcript 1 (non-protein coding)
RN7SL801P		RNA, 7SL, cytoplasmic 801, pseudogene
RN7SL287P		RNA, 7SL, cytoplasmic 287, pseudogene
FGF14-AS1		FGF14 antisense RNA 1
CYSTM1	C5orf32|ORF1-FL49	cysteine-rich transmembrane module containing 1
HINT2		histidine triad nucleotide binding protein 2
TRDV2	MGC117421|hDV102S1	T cell receptor delta variable 2
EFCAB1	FLJ11767	EF-hand calcium binding domain 1
ASNS		asparagine synthetase (glutamine-hydrolyzing)
THAP11	CTG-B45d|CTG-B43a|HRIHFB2206	THAP domain containing 11
RPL39P32		ribosomal protein L39 pseudogene 32
GKN1	CA11|AMP18|BRICD1	BRICHOS domain containing 1|gastrokine 1
HOTAIR	HOXC11-AS1|NCRNA00072|HOXC-AS4	HOX transcript antisense RNA|non-protein coding RNA 72|HOXC cluster antisense RNA 4 (non-protein coding)
SSXP5	psiSSX5	SSX family pseudogene 5
AGAP9	bA301J7.2|FLJ00312|CTGLF6	ArfGAP with GTPase domain, ankyrin repeat and PH domain 9|centaurin, gamma-like family, member 6
IGHV2-10		immunoglobulin heavy variable 2-10 (pseudogene)
ACTG1P2	ACTGP2|ACTL2	actin, gamma 1 pseudogene 2
SLC2AXP1		solute carrier family 2 (facilitated glucose transporter), pseudogene 1
ADAMTSL3	punctin-2|KIAA1233	ADAMTS-like 3
SUZ12	KIAA0160|JJAZ1|CHET9	SUZ12 polycomb repressive complex 2 subunit|suppressor of zeste 12 homolog (Drosophila)
RPL21P44		ribosomal protein L21 pseudogene 44
ADCY5	AC5	adenylate cyclase 5
MT-ATP6	ATPase-6|Su6m|MTATP6|RP|ATP6	mitochondrially encoded ATP synthase 6
CTSG	CG	cathepsin G
ENO1	MBP-1|PPH|ENO1L1|MPB1	enolase 1, (alpha)
SPHK1	SPHK	sphingosine kinase 1
NKX6-2	NKX6B|GTX|NKX6.1	NK6 homeobox 2
RNU6-133P		RNA, U6 small nuclear 133, pseudogene
RPSAP24		ribosomal protein SA pseudogene 24
PTPRF	LAR	protein tyrosine phosphatase, receptor type, F
SMAD1-AS1	ENST00000513542	SMAD1 antisense RNA 1
TOP1MT		topoisomerase (DNA) I, mitochondrial
OR8B4	OR8B4P	olfactory receptor, family 8, subfamily B, member 4
SSU72P8		SSU72 pseudogene 8
LRRC1	LANO|dJ523E19.1|FLJ11834|FLJ10775	leucine rich repeat containing 1
GNE	Uae1|IBM2	glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase
NRDE2	C14orf102|FLJ14051	NRDE-2, necessary for RNA interference, domain containing
FAM157C		family with sequence similarity 157, member C
ABHD12B	BEM46L3|C14orf29	abhydrolase domain containing 12B
CEP128	C14orf145|C14orf61	centrosomal protein 128kDa
RNU6-43P	RNU6-43	RNA, U6 small nuclear 43, pseudogene|RNA, U6 small nuclear 43
DNAI1	PCD|CILD1|DIC1	dynein, axonemal, intermediate chain 1
PDPK1	PDK1	3-phosphoinositide dependent protein kinase 1|PkB kinase|3-phosphoinositide dependent protein kinase-1
HPS6	FLJ22501	Hermansky-Pudlak syndrome 6
SHE		Src homology 2 domain containing E
KIR3DX1	LENG12|FLJ00060	killer cell immunoglobulin-like receptor, three domains, X1
FAM21D	bA592B15.4	family with sequence similarity 21, member D
PDCD4-AS1		PDCD4 antisense RNA 1
CHDH		choline dehydrogenase
SNORD63	RNU63|U63	small nucleolar RNA, C/D box 63
C11orf49	FLJ22210|MGC4707	chromosome 11 open reading frame 49
RPS29P10		ribosomal protein S29 pseudogene 10
AMPD3		adenosine monophosphate deaminase 3|erythrocyte-specific AMP deaminase
WBSCR17	GALNTL3|GalNAc-T5L	Williams-Beuren syndrome chromosome region 17
CPSF4L		cleavage and polyadenylation specific factor 4-like
RBAK	ZNF769	RB-associated KRAB zinc finger
RN7SL839P		RNA, 7SL, cytoplasmic 839, pseudogene
HNRNPCP6		heterogeneous nuclear ribonucleoprotein C pseudogene 6
LRRFIP1P1		leucine rich repeat (in FLII) interacting protein 1 pseudogene 1
PEX11A	PEX11-ALPHA|MGC138534|MGC119947	peroxisomal biogenesis factor 11 alpha
TAGLN2P1		transgelin 2 pseudogene 1
VPS26A	PEP8A|VPS26|Hbeta58	vacuolar protein sorting 26 homolog A (S. pombe)
SYF2P2		SYF2 pre-mRNA-splicing factor pseudogene 2
ZFHX2	KIAA1056|ZFH-5|KIAA1762|ZNF409	zinc finger homeobox 2
DCDC5	FLJ46154	doublecortin domain containing 5
RPF2P1	C20orf53|RPF2P|bA353C18.4|BXDC1P	ribosome production factor 2 homolog (S. cerevisiae) pseudogene 1
LNPEP	P-LAP|CAP|PLAP	placental leucine aminopeptidase|leucyl/cystinyl aminopeptidase|cystinyl aminopeptidase
RNF138	NARF|STRIN	nemo-like kinase associated ring finger protein|ring finger protein 138, E3 ubiquitin protein ligase
MIR302B	MIRN302B|hsa-mir-302b	microRNA 302b
EEF1GP2		eukaryotic translation elongation factor 1 gamma pseudogene 2
RPSAP43		ribosomal protein SA pseudogene 43
SNRPCP8		small nuclear ribonucleoprotein polypeptide C pseudogene 8
PCSK1N	SAAS	proprotein convertase subtilisin/kexin type 1 inhibitor
MTND6P13		MT-ND6 pseudogene 13
LINC00537		long intergenic non-protein coding RNA 537
RPL21P85		ribosomal protein L21 pseudogene 85
RN7SL817P		RNA, 7SL, cytoplasmic 817, pseudogene
RNU6-1203P		RNA, U6 small nuclear 1203, pseudogene
OR7A17	HTPCRX19	olfactory receptor, family 7, subfamily A, member 17
EIF3FP2	IFP38	eukaryotic translation initiation factor 3, subunit F pseudogene 2
GPR56	TM7LN4|TM7XN1	G protein-coupled receptor 56
TRA-AGC18-2	TRNAA22	transfer RNA alanine 22 (anticodon AGC)
MIR4437	hsa-mir-4437	microRNA 4437
LINC00621		long intergenic non-protein coding RNA 621
ASNSP3		asparagine synthetase pseudogene 3
MTCSB2		mitochondrially encoded conserved sequence block II
MCFD2	LMAN1IP|F5F8D|SDNSF	multiple coagulation factor deficiency 2
FAM167B	MGC10820|C1orf90	family with sequence similarity 167, member B
IGF2BP2	IMP-2	IGF II mRNA binding protein 2|insulin-like growth factor 2 mRNA binding protein 2
ZFYVE9	SARA|MADHIP|SMADIP|PPP1R173	zinc finger, FYVE domain containing 9
PRKAR1B		protein kinase, cAMP-dependent, regulatory, type I, beta
TRAV13-2		T cell receptor alpha variable 13-2
ATL1	FSP1|SPG3A|SPG3|AD-FSP	atlastin GTPase 1|atlastin
UGT8	CGT	UDP glycosyltransferase 8|2-hydroxyacylsphingosine 1-beta-galactosyltransferase
MIR579	MIRN579|hsa-mir-579	microRNA 579
LARP1	KIAA0731|LARP|MGC19556	La ribonucleoprotein domain family, member 1
RPL32P2	HsT20607	ribosomal protein L32 pseudogene 2
TMEM251	DKFZP564F1123|C14orf109	transmembrane protein 251
DFNB58		deafness, autosomal recessive 58
RNU6-1186P		RNA, U6 small nuclear 1186, pseudogene
LINC01396		
DYX2		dyslexia susceptibility 2
RNU1-70P		RNA, U1 small nuclear 70, pseudogene
TMPOP2	lncRNA-EBIC	
SNORD114-10	14q(II-10)	small nucleolar RNA, C/D box 114-10
MIR4524A	MIR4524|hsa-mir-4524	microRNA 4524a
LINC00297	NCRNA00297	long intergenic non-protein coding RNA 297
OTSC3		otosclerosis 3
SLC27A2	FACVL1|hFACVL1|VLCS|ACSVL1|VLACS|FATP2|HsT17226	solute carrier family 27 (fatty acid transporter), member 2
TRIM53CP		tripartite motif containing 53C, pseudogene
ATP1B1	ATP1B	sodium/potassium-transporting ATPase subunit beta-1|ATPase, Na+/K+ transporting, beta 1 polypeptide|sodium pump subunit beta-1|sodium-potassium ATPase subunit beta 1 (non-catalytic)
MARCKSL1P1		MARCKS-like 1 pseudogene 1
RNA5SP327	RN5S327	RNA, 5S ribosomal pseudogene 327
RN7SKP99		RNA, 7SK small nuclear pseudogene 99
DEFB126	DEFB-26|C20orf8|bA530N10.1	defensin, beta 126
CADPS2		Ca++-dependent secretion activator 2
DICER1-AS1	FLJ45244|DICER1-AS	DICER1 antisense RNA 1
MIR4773-1	hsa-mir-4773-1	microRNA 4773-1
ALKBH2	MGC90512|ABH2	alkB, alkylation repair homolog 2 (E. coli)
C6orf47-AS1		C6orf47 antisense RNA 1
IL33	C9orf26|NF-HEV|IL1F11|DVS27|DKFZp586H0523	interleukin 33|DVS27-related protein|interleukin-1 family, member 11|nuclear factor for high endothelial venules
RPS7P8		ribosomal protein S7 pseudogene 8
ZSWIM1	C20orf162|dJ337O18.5	zinc finger, SWIM-type containing 1
VIT		vitrin
MAP2K1	MEK1|PRKMK1|MAPKK1	mitogen-activated protein kinase kinase 1
RPL21P78		ribosomal protein L21 pseudogene 78
MARC1	MOSC1|FLJ22390	mitochondrial amidoxime reducing component 1
LRRC28	MGC24976|FLJ34269|FLJ45242	leucine rich repeat containing 28
C14orf181		chromosome 14 open reading frame 181
PHF11	IGER|BCAP|NY-REN-34	IgE responsiveness (atopic)|PHD finger protein 11
GNB2L1	Gnb2-rs1|H12.3|RACK1	Receptor for Activated C Kinase 1|guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1
CTH		cystathionase (cystathionine gamma-lyase)
INHA		inhibin, alpha
LRRC39	MGC14816	leucine rich repeat containing 39
IGHG1		immunoglobulin heavy constant gamma 1 (G1m marker)
MIR499A	MIRN499|MIR499|hsa-mir-499	microRNA 499a
FSBP		fibrinogen silencer binding protein
IGHV4-30-2	IGHV4-3|IGHV4302	immunoglobulin heavy variable 4-30-2
TTC9	TTC9A|KIAA0227	tetratricopeptide repeat domain 9
ADAMTS9-AS1		ADAMTS9 antisense RNA 1
RNU7-5P	U7.5	RNA, U7 small nuclear 5 pseudogene
HMGN2P9	HMG17L1|HMGN2L9|dJ388M5.2	high mobility group nucleosomal binding domain 2 pseudogene 9
IGKV1OR2-9	IGKV1/OR2-9	immunoglobulin kappa variable 1/OR2-9 (pseudogene)
RARS2	RARSL|PRO1992|dJ382I10.6|MGC23778|MGC14993|DALRD2	arginyl-tRNA synthetase 2, mitochondrial|arginine tRNA ligase 2, mitochondrial (putative)
MROH9	FLJ23550|C1orf129|ARMC11	maestro heat-like repeat family member 9
DUSP5	HVH3	dual specificity phosphatase 5
CFAP45	NESG1|CCDC19	coiled-coil domain containing 19
RN7SKP270		RNA, 7SK small nuclear pseudogene 270
SMARCAL1	HHARP|HARP	ATP-driven annealing helicase|HepA-related protein|SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a-like 1
SNAR-A7	snaR-A55302203	small ILF3/NF90-associated RNA A7
CEP89	FLJ14640|CCDC123	centrosomal protein 89kDa
RPL31P40		ribosomal protein L31 pseudogene 40
ABCG5	STSL	ATP-binding cassette, sub-family G (WHITE), member 5|sterolin 1
HOXD1	HOX4|HOX4G	homeobox D1
SPAG5	MAP126|hMAP126|DEEPEST	sperm associated antigen 5|mitotic spindle coiled-coil related protein|astrin|mitotic spindle associated protein p126
MSMB	PRPS|PN44|IGBF|PSP57|PSP-94|PSP94|PSP|MSPB|MSP	microseminoprotein, beta-
HIGD1AP1	HIGD1D|HIGD1DP	HIG1 hypoxia inducible domain family, member 1A pseudogene 1
MIR3942	hsa-mir-3942	microRNA 3942
UBA7	D8|UBE2|UBA1B|UBE1L	UBA1, ubiquitin-activating enzyme E1 homolog B (yeast)|UBA7, ubiquitin-activating enzyme E1|ubiquitin-like modifier activating enzyme 7
NSUN6	ARL5B-AS1|NOPD1|FLJ23743	NOP2/Sun domain family, member 6|ARL5B antisense RNA 1
OR7E1P		olfactory receptor, family 7, subfamily E, member 1 pseudogene
SNORD38B	U38B|RNU38B	small nucleolar RNA, C/D box 38B
AACSP1	AACSL	acetoacetyl-CoA synthetase pseudogene 1
GLRA2	GLR	glycine receptor, alpha 2
FXYD2	ATP1G1|HOMG2|MGC12372	FXYD domain containing ion transport regulator 2
OR8B6P		olfactory receptor, family 8, subfamily B, member 6 pseudogene
EPS8		epidermal growth factor receptor pathway substrate 8
MIR548I4	hsa-mir-548i-4|MIRN548I4	microRNA 548i-4
RPL31P34		ribosomal protein L31 pseudogene 34
SOGA1	SOGA|C20orf117|KIAA0889|dJ132F21.1|FLJ44670	suppressor of glucose from autophagy|suppressor of glucose, autophagy associated 1|suppressor of glucose by autophagy
NANOGP9		Nanog homeobox pseudogene 9
PIRC30		piwi-interacting RNA cluster 30
ERICH1		glutamate-rich 1
FNTAP2	FNTAL2	farnesyltransferase, CAAX box, alpha pseudogene 2
GIMAP7	MGC27027|IAN7	GTPase, IMAP family member 7
RNU6-364P		RNA, U6 small nuclear 364, pseudogene
MYT1L	NZF1|ZC2HC4B|KIAA1106	neural zinc finger transcription factor 1|myelin transcription factor 1-like
ATP5G3		ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C3 (subunit 9)
MRPS21P4		mitochondrial ribosomal protein S21 pseudogene 4
