OMIM:264800	PSEUDOXANTHOMA ELASTICUM|^|PXE	GRONBLAD STRANDBERG SYNDROME
OMIM:225100	ECTOPIA LENTIS 2 ISOLATED AUTOSOMAL RECESSIVE|^|ECTOL2	
OMIM:604499	HYPERLIPIDEMIA COMBINED 2	HYPLIP2|^|HYPERLIPIDEMIA FAMILIAL COMBINED 2|^|FCHL2
OMIM:155755	MELANOMA ASTROCYTOMA SYNDROME	MELANOMA AND NEURAL SYSTEM TUMOR SYNDROME
OMIM:136620	FRAGILE SITE 10q25|^|FRA10B	BrdU DEPENDENT FRAGILE SITE
OMIM:616268	MENTAL RETARDATION AUTOSOMAL DOMINANT 32|^|MRD32	
OMIM:130050	EHLERS DANLOS SYNDROME TYPE IV AUTOSOMAL DOMINANT	EHLERS DANLOS SYNDROME VASCULAR TYPE|^|EDS IV|^|EDS4|^|EHLERS DANLOS SYNDROME ARTERIAL TYPE|^|EHLERS DANLOS SYNDROME ECCHYMOTIC TYPE|^|EHLERS DANLOS SYNDROME SACK BARABAS TYPE
OMIM:601098	CHARCOT MARIE TOOTH DISEASE DEMYELINATING TYPE 1C|^|CMT1C	
OMIM:253270	HOLOCARBOXYLASE SYNTHETASE DEFICIENCY	HLCS DEFICIENCY|^|MULTIPLE CARBOXYLASE DEFICIENCY NEONATAL FORM|^|MULTIPLE CARBOXYLASE DEFICIENCY EARLY ONSET
OMIM:612718	CEREBRAL CREATINE DEFICIENCY SYNDROME 3|^|CCDS3	
OMIM:609529	IMMUNOGLOBULIN A DEFICIENCY 2|^|IGAD2	IMMUNOGLOBULIN A SELECTIVE DEFICIENCY OF TACI RELATED|^|IgA SELECTIVE DEFICIENCY OF TACI RELATED
OMIM:609528	CEREBRAL DYSGENESIS NEUROPATHY ICHTHYOSIS AND PALMOPLANTAR KERATODERMA SYNDROME	CEDNIK SYNDROME
OMIM:612712	LEBER CONGENITAL AMAUROSIS 13|^|LCA13	
OMIM:609524	MYOPATHY MYOFIBRILLAR 5|^|MFM5	
OMIM:612716	DYSTONIA DOPA RESPONSIVE DUE TO SEPIAPTERIN REDUCTASE DEFICIENCY	SEPIAPTERIN REDUCTASE DEFICIENCY|^|SRD|^|SPR DEFICIENCY
OMIM:612717	MYOPIA 15 AUTOSOMAL DOMINANT|^|MYP15	
OMIM:612714	EXOCRINE PANCREATIC INSUFFICIENCY DYSERYTHROPOIETIC ANEMIA AND CALVARIAL HYPEROSTOSIS	
OMIM:612715	DYSCHROMATOSIS UNIVERSALIS HEREDITARIA 2|^|DUH2	
OMIM:601894	GLOMERULOPATHY WITH FIBRONECTIN DEPOSITS 2|^|GFND2	
OMIM:271600	SPONDYLOEPIPHYSEAL DYSPLASIA TARDA AUTOSOMAL RECESSIVE	
OMIM:604117	VOHWINKEL SYNDROME VARIANT FORM	VOHWINKEL SYNDROME WITH ICHTHYOSIS|^|MUTILATING KERATODERMA WITH ICHTHYOSIS|^|LORICRIN KERATODERMA
OMIM:604116	CONE ROD DYSTROPHY 3|^|CORD3	
OMIM:124900	DEAFNESS AUTOSOMAL DOMINANT 1|^|DFNA1	
OMIM:207750	APOLIPOPROTEIN C II DEFICIENCY	HYPERLIPOPROTEINEMIA TYPE IB|^|C II ANAPOLIPOPROTEINEMIA|^|APOC2 DEFICIENCY
OMIM:600274	FRONTOTEMPORAL DEMENTIA|^|FTD	FRONTOTEMPORAL LOBAR DEGENERATION WITH TAU INCLUSIONS|^|FTLD WITH TAU INCLUSIONS|^|DEMENTIA FRONTOTEMPORAL WITH PARKINSONISM|^|FRONTOTEMPORAL DEMENTIA WITH PARKINSONISM|^|FRONTOTEMPORAL LOBE DEMENTIA|^|FLDEM|^|FTDP17|^|MULTIPLE SYSTEM TAUOPATHY WITH PRESENILE DEMENTIA|^|MSTD|^|DISINHIBITION DEMENTIA PARKINSONISM AMYOTROPHY COMPLEX|^|DDPAC|^|WILHELMSEN LYNCH DISEASE|^|WLD|^|PALLIDOPONTONIGRAL DEGENERATION|^|PPND
OMIM:600273	POLYCYSTIC KIDNEY DISEASE INFANTILE SEVERE WITH TUBEROUS SCLEROSIS|^|PKDTS	CHROMOSOME 16p13 3 DELETION SYNDROME DISTAL|^|TUBEROUS SCLEROSIS POLYCYSTIC KIDNEY DISEASE CONTIGUOUS GENE SYNDROME
OMIM:125500	DENTINOGENESIS IMPERFECTA SHIELDS TYPE III	DGI III|^|BRANDYWINE TYPE DENTINOGENESIS IMPERFECTA
OMIM:252900	MUCOPOLYSACCHARIDOSIS TYPE IIIA|^|MPS3A	
OMIM:255300	MYOPATHY CONGENITAL	BATTEN TURNER CONGENITAL MYOPATHY
OMIM:252650	MUCOLIPIDOSIS IV|^|ML4	ML IV|^|SIALOLIPIDOSIS
OMIM:610717	NEUTRAL LIPID STORAGE DISEASE WITH MYOPATHY|^|NLSDM	NEUTRAL LIPID STORAGE DISEASE WITHOUT ICHTHYOSIS
OMIM:610713	BRACHYDACTYLY SYNDACTYLY SYNDROME	BDSD
OMIM:616418	HYPOMAGNESEMIA SEIZURES AND MENTAL RETARDATION|^|HOMGSMR	
OMIM:612976	AGE RELATED HEARING IMPAIRMENT 2|^|ARHI2	PRESBYCUSIS 2
OMIM:245050	SUCCINYL CoA 3 OXOACID CoA TRANSFERASE DEFICIENCY|^|SCOTD	SCOT DEFICIENCY|^|SUCCINYL CoA 3 KETOACID CoA TRANSFERASE DEFICIENCY|^|SUCCINYL CoA ACETOACETATE TRANSFERASE DEFICIENCY|^|KETOACIDOSIS DUE TO SCOT DEFICIENCY
OMIM:612975	SHORT SLEEPER	SHORT SLEEP PHENOTYPE
OMIM:616411	DYSTONIA 27|^|DYT27	
OMIM:616410	SPINOCEREBELLAR ATAXIA 41|^|SCA41	
OMIM:179613	RECOMBINANT CHROMOSOME 8 SYNDROME	REC8 SYNDROME|^|CHROMOSOME 8q22 1 qter DUPLICATION AND 8pter p23 1 DELETION|^|SAN LUIS VALLEY SYNDROME
OMIM:217400	CORNEAL DYSTROPHY AND PERCEPTIVE DEAFNESS|^|CDPD	CDPD1|^|CORNEAL DYSTROPHY AND SENSORINEURAL DEAFNESS|^|HARBOYAN SYNDROME
OMIM:607134	SPECIFIC LANGUAGE IMPAIRMENT 3|^|SLI3	
OMIM:607135	CREATININE CLEARANCE QUANTITATIVE TRAIT LOCUS	CRCL
OMIM:607136	SPINOCEREBELLAR ATAXIA 17|^|SCA17	
OMIM:607131	AL GAZALI BAKALINOVA SYNDROME|^|AGBK	MACROCEPHALY WITH MULTIPLE EPIPHYSEAL DYSPLASIA AND DISTINCTIVE FACIES|^|MMEDF
OMIM:606263	PAGET DISEASE OF BONE 4|^|PDB4	
OMIM:610828	HOLOPROSENCEPHALY 7|^|HPE7	
OMIM:610829	HOLOPROSENCEPHALY 9|^|HPE9	
OMIM:600852	RETINITIS PIGMENTOSA 17|^|RP17	
OMIM:600850	SCHIZOPHRENIA 4|^|SCZD4	SCHIZOPHRENIA SUSCEPTIBILITY LOCUS CHROMOSOME 22q11 RELATED
OMIM:604809	PANBRONCHIOLITIS DIFFUSE	DPB|^|PBLT
OMIM:604805	SPASTIC PARAPLEGIA 12 AUTOSOMAL DOMINANT|^|SPG12	
OMIM:604804	MICROCEPHALY 3 PRIMARY AUTOSOMAL RECESSIVE|^|MCPH3	
OMIM:600858	CARDIOMYOPATHY FAMILIAL HYPERTROPHIC 6|^|CMH6	
OMIM:604801	MUSCULAR DYSTROPHY CONGENITAL 1B|^|MDC1B	
OMIM:604802	HUNTINGTON DISEASE LIKE 3|^|HDL3	HUNTINGTON DISEASE LIKE NEURODEGENERATIVE DISORDER AUTOSOMAL RECESSIVE
OMIM:300455	RETINITIS PIGMENTOSA X LINKED AND SINORESPIRATORY INFECTIONS WITH OR WITHOUT DEAFNESS	
OMIM:300454	MENTAL RETARDATION X LINKED 77|^|MRX77	
OMIM:126850	DUODENAL ULCER HYPERPEPSINOGENEMIC I	
OMIM:201750	ANTLEY BIXLER SYNDROME WITH GENITAL ANOMALIES AND DISORDERED STEROIDOGENESIS|^|ABS1	
OMIM:606407	HYPOTONIA CYSTINURIA SYNDROME	CYSTINURIA WITH MITOCHONDRIAL DISEASE|^|HOMOZYGOUS 2p16 DELETION SYNDROME FORMERLY
OMIM:142946	HOLOPROSENCEPHALY 4|^|HPE4	
OMIM:142945	HOLOPROSENCEPHALY 3|^|HPE3	
OMIM:606408	EHLERS DANLOS SYNDROME DUE TO TENASCIN X DEFICIENCY	EDS DUE TO TNX DEFICIENCY|^|TNX DEFICIENCY
OMIM:613628	ODONTOID HYPOPLASIA	
OMIM:613625	FACTOR V AND FACTOR VIII COMBINED DEFICIENCY OF 2|^|F5F8D2	
OMIM:251100	METHYLMALONIC ACIDURIA cblA TYPE	METHYLMALONIC ACIDEMIA cblA TYPE|^|METHYLMALONIC ACIDURIA VITAMIN B12 RESPONSIVE DUE TO DEFECT IN SYNTHESIS OF ADENOSYLCOBALAMIN cblA TYPE
OMIM:137500	GIANT NEUTROPHIL LEUKOCYTES	
OMIM:609060	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 1|^|COXPD1	
OMIM:139900	HAND SKILL RELATIVE|^|HSR	HANDEDNESS
OMIM:611664	SKIN HAIR EYE PIGMENTATION VARIATION IN 7|^|SHEP7	
OMIM:300068	ANDROGEN INSENSITIVITY SYNDROME|^|AIS	TESTICULAR FEMINIZATION SYNDROME|^|TFM|^|ANDROGEN RECEPTOR DEFICIENCY|^|AR DEFICIENCY|^|DIHYDROTESTOSTERONE RECEPTOR DEFICIENCY|^|DHTR DEFICIENCY
OMIM:609069	PANCREATIC AND CEREBELLAR AGENESIS|^|PACA	DIABETES MELLITUS PERMANENT NEONATAL WITH CEREBELLAR AGENESIS
OMIM:300066	DEAFNESS X LINKED 4|^|DFNX4	
OMIM:300067	LISSENCEPHALY X LINKED 1|^|LISX1	
OMIM:300062	MENTAL RETARDATION X LINKED 14|^|MRX14	
OMIM:614019	LISSENCEPHALY 4|^|LIS4	LISSENCEPHALY 4 WITH MICROCEPHALY
OMIM:614018	EPILEPSY PROGRESSIVE MYOCLONIC 6|^|EPM6	
OMIM:614017	CILIARY DYSKINESIA PRIMARY 16|^|CILD16	
OMIM:169150	MACULAR DYSTROPHY PATTERNED 1|^|MDPT1	PATTERNED DYSTROPHY OF RETINAL PIGMENT EPITHELIUM|^|MACULAR DYSTROPHY BUTTERFLY SHAPED PIGMENTARY|^|BUTTERFLY DYSTROPHY OF RETINAL PIGMENT EPITHELIUM
OMIM:602722	RENAL TUBULAR ACIDOSIS DISTAL AUTOSOMAL RECESSIVE|^|RTADR	RTA DISTAL AUTOSOMAL RECESSIVE|^|RENAL TUBULAR ACIDOSIS AUTOSOMAL RECESSIVE WITH PRESERVED HEARING
OMIM:602723	PSORIASIS 2|^|PSORS2	
OMIM:243400	ACETYLATION SLOW	SLOW ACETYLATOR PHENOTYPE|^|ISONIAZID INACTIVATION SLOW|^|INH INACTIVATION SLOW
OMIM:609200	MYOPATHY MYOFIBRILLAR 3|^|MFM3	
OMIM:147061	IMMUNOGLOBULIN E CONCENTRATION SERUM|^|IGES	
OMIM:147060	HYPER IgE RECURRENT INFECTION SYNDROME AUTOSOMAL DOMINANT	HYPER IgE SYNDROME AUTOSOMAL DOMINANT|^|HIES AUTOSOMAL DOMINANT|^|JOB SYNDROME
OMIM:208250	CAMPTODACTYLY ARTHROPATHY COXA VARA PERICARDITIS SYNDROME|^|CACP	ARTHROPATHY CAMPTODACTYLY SYNDROME|^|HYPERTROPHIC SYNOVITIS CONGENITAL FAMILIAL|^|JACOBS SYNDROME|^|FIBROSING SEROSITIS FAMILIAL|^|PERICARDITIS ARTHROPATHY CAMPTODACTYLY SYNDROME|^|PAC SYNDROME|^|CAMPTODACTYLY ARTHROPATHY PERICARDITIS SYNDROME|^|CAP SYNDROME
OMIM:611775	KAWASAKI DISEASE	KD|^|MUCOCUTANEOUS LYMPH NODE SYNDROME|^|INFANTILE POLYARTERITIS
OMIM:136900	SORSBY FUNDUS DYSTROPHY|^|SFD	FUNDUS DYSTROPHY PSEUDOINFLAMMATORY OF SORSBY|^|MACULAR DYSTROPHY HEMORRHAGIC
OMIM:301220	PIGMENTARY DISORDER RETICULATE WITH SYSTEMIC MANIFESTATIONS|^|PDR	AMYLOIDOSIS FAMILIAL CUTANEOUS
OMIM:174700	POLYDACTYLY PREAXIAL IV	POLYSYNDACTYLY UNCOMPLICATED
OMIM:138500	HYPERGLYCINURIA	GLYCINURIA WITH OR WITHOUT OXALATE UROLITHIASIS|^|GLYCINURIA WITH OR WITHOUT OXALATE NEPHROLITHIASIS|^|IMINOGLYCINURIA TYPE II
OMIM:313500	TOOTH AGENESIS SELECTIVE X LINKED 1|^|STHAGX1	
OMIM:135900	COFFIN SIRIS SYNDROME|^|CSS	FIFTH DIGIT SYNDROME
OMIM:615636	JOUBERT SYNDROME 21|^|JBTS21	
OMIM:615637	MENTAL RETARDATION AUTOSOMAL RECESSIVE 41|^|MRT41	
OMIM:186200	SYNDACTYLY TYPE IV|^|SDTY4	HAAS TYPE SYNDACTYLY|^|POLYSYNDACTYLY HAAS TYPE|^|SD4
OMIM:615631	ANEMIA CONGENITAL DYSERYTHROPOIETIC TYPE Ib|^|CDAN1B	
OMIM:615632	NEUROPATHY HEREDITARY SENSORY TYPE IF|^|HSN1F	
OMIM:615598	PALMOPLANTAR KERATODERMA NAGASHIMA TYPE|^|PPKN	
OMIM:612363	ALANINE AMINOTRANSFERASE PLASMA LEVEL OF QUANTITATIVE TRAIT LOCUS 1	ALTQTL1
OMIM:612362	BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 12|^|BMIQ12	OBESITY SUSCEPTIBILITY TO
OMIM:612361	SCHIZOPHRENIA 14	SCZD14|^|SCHIZOPHRENIA SUSCEPTIBILITY LOCUS CHROMOSOME 2q32 RELATED
OMIM:612367	ALKALINE PHOSPHATASE PLASMA LEVEL OF QUANTITATIVE TRAIT LOCUS 2	ALPQTL2
OMIM:612366	GAMMA GLUTAMYLTRANSFERASE PLASMA LEVEL OF QUANTITATIVE TRAIT LOCUS 2	GGTQTL2
OMIM:300934	CONGENITAL DISORDER OF GLYCOSYLATION TYPE Iy|^|CDG1Y	
OMIM:612364	ALANINE AMINOTRANSFERASE PLASMA LEVEL OF QUANTITATIVE TRAIT LOCUS 2	ALTQTL2
OMIM:612369	ALKALINE PHOSPHATASE PLASMA LEVEL OF QUANTITATIVE TRAIT LOCUS 4	ALPQTL4
OMIM:612368	ALKALINE PHOSPHATASE PLASMA LEVEL OF QUANTITATIVE TRAIT LOCUS 3	ALPQTL3
OMIM:615595	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 19|^|COXPD19	
OMIM:608559	BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 6|^|BMIQ6	
OMIM:608558	BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 5|^|BMIQ5	
OMIM:608553	LEBER CONGENITAL AMAUROSIS 9|^|LCA9	
OMIM:608557	MYOCARDIAL INFARCTION SUSCEPTIBILITY TO 2	MCI2
OMIM:614900	DIAMOND BLACKFAN ANEMIA 11|^|DBA11	
OMIM:615848	MELANOMA CUTANEOUS MALIGNANT SUSCEPTIBILITY TO 10|^|CMM10	
OMIM:615591	MACULAR DEGENERATION AGE RELATED 15|^|ARMD15	
OMIM:615590	ALZHEIMER DISEASE 18|^|AD18	ALZHEIMER DISEASE 18 LATE ONSET
OMIM:203200	ALBINISM OCULOCUTANEOUS TYPE II|^|OCA2	
OMIM:272120	SUDDEN INFANT DEATH SYNDROME	SIDS
OMIM:237800	HYPERBILIRUBINEMIA SHUNT PRIMARY|^|PSHB	
OMIM:601407	DIABETES MELLITUS NONINSULIN DEPENDENT 2|^|NIDDM2	
OMIM:604326	SPINOCEREBELLAR ATAXIA 12|^|SCA12	
OMIM:604320	SPINAL MUSCULAR ATROPHY DISTAL AUTOSOMAL RECESSIVE 1|^|DSMA1	SPINAL MUSCULAR ATROPHY WITH RESPIRATORY DISTRESS 1|^|SMARD1|^|NEURONOPATHY DISTAL HEREDITARY MOTOR TYPE VI|^|DHMN6|^|HMN6|^|HMN VI|^|SEVERE INFANTILE AXONAL NEUROPATHY WITH RESPIRATORY FAILURE|^|SIANRF|^|NEURONOPATHY SEVERE INFANTILE AXONAL WITH RESPIRATORY FAILURE|^|SPINAL MUSCULAR ATROPHY DIAPHRAGMATIC
OMIM:604321	MICROCEPHALY 4 PRIMARY AUTOSOMAL RECESSIVE|^|MCPH4	
OMIM:300660	LEUKOENCEPHALOPATHY WITH METAPHYSEAL CHONDRODYSPLASIA|^|LKMCD	
OMIM:300661	PHOSPHORIBOSYLPYROPHOSPHATE SYNTHETASE SUPERACTIVITY	PRPS1 SUPERACTIVITY
OMIM:604329	HYPERTENSION ESSENTIAL SUSCEPTIBILITY TO 2	HYT2
OMIM:133500	EXCHONDROSIS OF PINNA POSTERIOR	EAR BUMP
OMIM:613364	SPASTIC PARAPLEGIA 41 AUTOSOMAL DOMINANT|^|SPG41	
OMIM:160565	MYOPATHY TUBULAR AGGREGATE 1|^|TAM1	
OMIM:603802	MICROCEPHALY WITH SIMPLIFIED GYRAL PATTERN	
OMIM:601666	DIABETES MELLITUS INSULIN DEPENDENT 15|^|IDDM15	
OMIM:601665	OBESITY	
OMIM:182000	KERATOSIS SEBORRHEIC	
OMIM:616629	SENIOR LOKEN SYNDROME 9|^|SLSN9	
OMIM:611603	LISSENCEPHALY 3|^|LIS3	
OMIM:616622	IMMUNODEFICIENCY 42|^|IMD42	
OMIM:612644	DEAFNESS AUTOSOMAL DOMINANT 2B|^|DFNA2B	
OMIM:612313	GLASS SYNDROME|^|GLASS	CHROMOSOME 2q32 q33 DELETION SYNDROME
OMIM:255110	CARNITINE PALMITOYLTRANSFERASE II DEFICIENCY LATE ONSET	CARNITINE PALMITOYLTRANSFERASE II DEFICIENCY MYOPATHIC|^|CARNITINE PALMITOYLTRANSFERASE II DEFICIENCY ADULT ONSET|^|CPT II DEFICIENCY MYOPATHIC|^|CPT2 DEFICIENCY LATE ONSET
OMIM:300590	CORNELIA DE LANGE SYNDROME 2|^|CDLS2	
OMIM:300591	STATURE QUANTITATIVE TRAIT LOCUS 6|^|STQTL6	
OMIM:613105	CHOROIDAL DYSTROPHY CENTRAL AREOLAR 2|^|CACD2	
OMIM:613106	VERTIGO BENIGN RECURRENT 2|^|BRV2	
OMIM:613107	NEUTROPENIA SEVERE CONGENITAL 2 AUTOSOMAL DOMINANT|^|SCN2	
OMIM:613100	GLAUCOMA 1 OPEN ANGLE O|^|GLC1O	
OMIM:613101	HEMOPHAGOCYTIC LYMPHOHISTIOCYTOSIS FAMILIAL 5|^|FHL5	
OMIM:613102	HYPOTRICHOSIS AND RECURRENT SKIN VESICLES	
OMIM:613108	CANDIDIASIS FAMILIAL 4|^|CANDF4	
OMIM:615444	CILIARY DYSKINESIA PRIMARY 22|^|CILD22	
OMIM:145800	HYPERTROPHIA MUSCULORUM VERA	
OMIM:607678	CHARCOT MARIE TOOTH DISEASE DEMYELINATING TYPE 1D|^|CMT1D	
OMIM:270400	SMITH LEMLI OPITZ SYNDROME|^|SLOS	SLO SYNDROME|^|RSH SYNDROME|^|RUTLEDGE LETHAL MULTIPLE CONGENITAL ANOMALY SYNDROME|^|POLYDACTYLY SEX REVERSAL RENAL HYPOPLASIA AND UNILOBAR LUNG|^|LETHAL ACRODYSGENITAL SYNDROME
OMIM:607857	PSORIASIS 9 SUSCEPTIBILITY TO|^|PSORS9	
OMIM:607855	MUSCULAR DYSTROPHY CONGENITAL MEROSIN DEFICIENT 1A|^|MDC1A	MUSCULAR DYSTROPHY CONGENITAL MEROSIN DEFICIENT
OMIM:607677	CHARCOT MARIE TOOTH DISEASE AXONAL TYPE 2I|^|CMT2I	
OMIM:607676	IRAK4 DEFICIENCY	IRAK4D
OMIM:607674	CATARACT CONGENITAL WITH MENTAL IMPAIRMENT AND DENTATE GYRUS ATROPHY	
OMIM:112200	BLUE RUBBER BLEB NEVUS	BEAN SYNDROME
OMIM:606674	INFLAMMATORY BOWEL DISEASE 6|^|IBD6	
OMIM:606675	INFLAMMATORY BOWEL DISEASE 4|^|IBD4	
OMIM:600138	RETINITIS PIGMENTOSA 11|^|RP11	
OMIM:600131	EPILEPSY CHILDHOOD ABSENCE SUSCEPTIBILITY TO 1|^|ECA1	
OMIM:267000	PERLMAN SYNDROME|^|PRLMNS	RENAL HAMARTOMAS NEPHROBLASTOMATOSIS AND FETAL GIGANTISM|^|NEPHROBLASTOMATOSIS FETAL ASCITES MACROSOMIA AND WILMS TUMOR
OMIM:600132	RETINITIS PIGMENTOSA 14|^|RP14	
OMIM:234050	TRICHOTHIODYSTROPHY 4 NONPHOTOSENSITIVE|^|TTD4	
OMIM:266200	PYRUVATE KINASE DEFICIENCY OF RED CELLS	PYRUVATE KINASE DEFICIENCY OF ERYTHROCYTE|^|PK DEFICIENCY
OMIM:603116	CDAGS SYNDROME	CRANIOSYNOSTOSIS ANAL ANOMALIES AND POROKERATOSIS|^|CAP SYNDROME
OMIM:129600	ECTOPIA LENTIS 1 ISOLATED AUTOSOMAL DOMINANT|^|ECTOL1	
OMIM:128600	EAR MALFORMATION	CUP EAR
OMIM:162091	SCHWANNOMATOSIS 1|^|SWNTS1	
OMIM:610452	MUTAGEN SENSITIVITY	
OMIM:610102	COMPLEMENT COMPONENT 7 DEFICIENCY|^|C7D	C7 DEFICIENCY
OMIM:610455	TUMORAL CALCINOSIS NORMOPHOSPHATEMIC FAMILIAL|^|NFTC	CALCINOSIS TUMORAL WITH NORMOPHOSPHATEMIA
OMIM:265950	PYLORIC ATRESIA	
OMIM:102350	ACROMIAL DIMPLES	SUPRASPINOUS FOSSAE CONGENITAL
OMIM:180860	SILVER RUSSELL SYNDROME|^|SRS	RSS|^|SILVER RUSSELL DWARFISM
OMIM:308280	IMPACTED TEETH MULTIPLE	
OMIM:605407	SEGAWA SYNDROME AUTOSOMAL RECESSIVE	PARKINSONISM INFANTILE AUTOSOMAL RECESSIVE|^|DYSTONIA DOPA RESPONSIVE AUTOSOMAL RECESSIVE|^|DOPA RESPONSIVE DYSTONIA AUTOSOMAL RECESSIVE|^|TYROSINE HYDROXYLASE DEFICIENCY
OMIM:247420	LUTHERAN NULL	RECESSIVE LU a b PHENOTYPE
OMIM:614224	RETINAL ARTERIAL MACROANEURYSM WITH SUPRAVALVULAR PULMONIC STENOSIS|^|RAMSVPS	
OMIM:614225	WARBURG MICRO SYNDROME 2|^|WARBM2	
OMIM:614226	HOLOPROSENCEPHALY 11|^|HPE11	
OMIM:614227	HYPERURICEMIC NEPHROPATHY FAMILIAL JUVENILE 3|^|HNFJ3	
OMIM:614220	BILIARY CIRRHOSIS PRIMARY 4|^|PBC4	
OMIM:614221	BILIARY CIRRHOSIS PRIMARY 5|^|PBC5	
OMIM:614222	WARBURG MICRO SYNDROME 3|^|WARBM3	
OMIM:614223	NARCOLEPSY 6 SUSCEPTIBILITY TO|^|NRCLP6	
OMIM:243310	BARAITSER WINTER SYNDROME 1|^|BRWS1	
OMIM:614228	CHARCOT MARIE TOOTH DISEASE AXONAL TYPE 2O|^|CMT2O	
OMIM:614229	SPINOCEREBELLAR ATAXIA AUTOSOMAL RECESSIVE 11|^|SCAR11	
OMIM:608638	ASPERGER SYNDROME SUSCEPTIBILITY TO 1|^|ASPG1	
OMIM:230600	GM1 GANGLIOSIDOSIS TYPE II	GANGLIOSIDOSIS GENERALIZED GM1 JUVENILE TYPE|^|GANGLIOSIDOSIS GENERALIZED GM1 TYPE II|^|GANGLIOSIDOSIS GENERALIZED GM1 TYPE 2
OMIM:606896	DYSLEXIA SUSCEPTIBILITY TO 5|^|DYX5	
OMIM:219750	CYSTINOSIS ADULT NONNEPHROPATHIC	CYSTINOSIS OCULAR NONNEPHROPATHIC|^|CYSTINOSIS BENIGN NONNEPHROPATHIC
OMIM:608600	LIPODYSTROPHY FAMILIAL PARTIAL TYPE 1|^|FPLD1	
OMIM:602579	CONGENITAL DISORDER OF GLYCOSYLATION TYPE Ib|^|CDG1B	
OMIM:248390	TREACHER COLLINS SYNDROME 3|^|TCS3	
OMIM:611274	GLAUCOMA 1 OPEN ANGLE N|^|GLC1N	
OMIM:611276	GLAUCOMA 1 OPEN ANGLE H|^|GLC1H	
OMIM:611277	GENERALIZED EPILEPSY WITH FEBRILE SEIZURES PLUS TYPE 3|^|GEFSP3	
OMIM:143200	WAGNER VITREORETINOPATHY|^|WGVRP	EROSIVE VITREORETINOPATHY|^|ERVR|^|WAGNER VITREORETINAL DEGENERATION|^|HYALOIDEORETINAL DEGENERATION OF WAGNER|^|WAGNER SYNDROME 1|^|WGN1
OMIM:140400	PROGRESSIVE FAMILIAL HEART BLOCK TYPE II|^|PFHB2	
OMIM:608940	SPONDYLOMETAPHYSEAL DYSPLASIA WITH CONE ROD DYSTROPHY|^|SMDCRD	
OMIM:167210	PACHYONYCHIA CONGENITA 2|^|PC2	
OMIM:614739	3 METHYLGLUTACONIC ACIDURIA WITH DEAFNESS ENCEPHALOPATHY AND LEIGH LIKE SYNDROME|^|MEGDEL	
OMIM:614732	INTRAUTERINE GROWTH RETARDATION METAPHYSEAL DYSPLASIA ADRENAL HYPOPLASIA CONGENITA AND GENITAL ANOMALIES	IMAGE SYNDROME
OMIM:614731	PROSTATE CANCER HEREDITARY 2|^|HPC2	
OMIM:614736	GLUCOCORTICOID DEFICIENCY 4|^|GCCD4	
OMIM:615179	ALBINISM OCULOCUTANEOUS TYPE VII|^|OCA7	
OMIM:130070	EHLERS DANLOS SYNDROME PROGEROID TYPE 1|^|EDSP1	PROTEODERMATAN SULFATE DEFECTIVE BIOSYNTHESIS OF|^|PDS DEFECTIVE BIOSYNTHESIS OF|^|DERMATAN SULFATE PROTEOGLYCAN|^|XYLOSYLPROTEIN 4 BETA GALACTOSYLTRANSFERASE DEFICIENCY|^|XGPT DEFICIENCY|^|GALACTOSYLTRANSFERASE I DEFICIENCY
OMIM:615846	AICARDI GOUTIERES SYNDROME 7|^|AGS7	
OMIM:601764	SEIZURES BENIGN FAMILIAL INFANTILE 1|^|BFIS1	
OMIM:314500	VAN DEN BOSCH SYNDROME	
OMIM:211530	BROWN VIALETTO VAN LAERE SYNDROME 1|^|BVVLS1	
OMIM:106300	SPONDYLOARTHROPATHY SUSCEPTIBILITY TO 1|^|SPDA1	
OMIM:175700	GREIG CEPHALOPOLYSYNDACTYLY SYNDROME|^|GCPS	POLYSYNDACTYLY WITH PECULIAR SKULL SHAPE
OMIM:179850	DOWLING DEGOS DISEASE 1|^|DDD1	
OMIM:609541	SPASTIC PARAPLEGIA OPTIC ATROPHY AND NEUROPATHY|^|SPOAN	
OMIM:148840	KLEINE LEVIN HIBERNATION SYNDROME	KLEINE LEVIN SYNDROME
OMIM:612775	CONE ROD DYSTROPHY 9|^|CORD9	
OMIM:612776	HYPOGLOSSIA WITH SITUS INVERSUS	
OMIM:609549	NANOPHTHALMOS 2|^|NNO2	
OMIM:263800	GITELMAN SYNDROME	HYPOMAGNESEMIA HYPOKALEMIA PRIMARY RENOTUBULAR WITH HYPOCALCIURIA|^|POTASSIUM AND MAGNESIUM DEPLETION
OMIM:616494	LEUKODYSTROPHY HYPOMYELINATING 11|^|HLD11	
OMIM:158170	CHROMOSOME 9p DELETION SYNDROME	MONOSOMY 9p SYNDROME
OMIM:616490	JOUBERT SYNDROME 23|^|JBTS23	
OMIM:604131	ALPHA THALASSEMIA	
OMIM:146800	ICHTHYOSIS BULLOSA OF SIEMENS|^|IBS	ICHTHYOSIS BULLOUS TYPE
OMIM:121400	CORNEA PLANA 1|^|CNA1	
